#separator:Comma
#html:true
#columns:Question,Answer,Tags
#tags column:3
"Polyfill vs shim vs transpile — one-line each?","Polyfill = JS code that implements a *missing* runtime API at runtime. Shim = any compatibility layer (may patch broken, not just absent, behavior). Transpile = build-time syntax conversion (arrow → function) — cannot add new APIs.","ReactInterview::01-javascript-core"
"What is the difference between <code>call</code> and <code>apply</code>?","Both invoke a function with explicit <code>this</code>. <code>call(ctx, arg1, arg2)</code> takes args spread; <code>apply(ctx, [arg1, arg2])</code> takes args as an array.","ReactInterview::01-javascript-core"
"What does <code>new</code> do under the hood?","Creates empty object, sets <code>[[Prototype]]</code> to constructor&#x27;s <code>.prototype</code>, calls constructor with <code>this</code> = new object, returns that object (unless constructor returns a different object).","ReactInterview::01-javascript-core"
"Structural vs nominal typing in one sentence?","TS checks shape, not name — two different types with the same shape are mutually assignable.","ReactInterview::02-typescript"
"When does <code>never</code> appear in a union?","It disappears — <code>string | never</code> = <code>string</code>.","ReactInterview::02-typescript"
"<code>unknown</code> vs <code>any</code> in a catch block?","<code>unknown</code> in strict mode — must narrow before accessing <code>.message</code>.","ReactInterview::02-typescript"
"What does <code>-?</code> do in a mapped type?","Removes the optional modifier, making properties required.","ReactInterview::02-typescript"
"Can <code>interface</code> express a union?","No — unions require <code>type</code>.","ReactInterview::02-typescript"
"What is declaration merging used for?","Module augmentation, extending third-party types (e.g., <code>Express.Request</code>).","ReactInterview::02-typescript"
"<code>satisfies</code> in one use case?","Validate an object against a type while retaining narrow literal types.","ReactInterview::02-typescript"
"<code>as const</code> vs <code>Object.freeze</code>?","<code>as const</code> is compile-time only; <code>freeze</code> is runtime. They compose.","ReactInterview::02-typescript"
"Why is <code>React.FC</code> discouraged?","Adds implicit <code>children</code>, breaks generic components, returns <code>JSX.Element</code> not <code>ReactNode</code>.","ReactInterview::02-typescript"
"<code>ReturnType</code> of an async function?","<code>ReturnType&lt;typeof fn&gt;</code> = <code>Promise&lt;T&gt;</code>. Use <code>Awaited&lt;ReturnType&lt;typeof fn&gt;&gt;</code> for the resolved type.","ReactInterview::02-typescript"
"What flag makes <code>arr[0]</code> return <code>T | undefined</code>?","<code>noUncheckedIndexedAccess</code>.","ReactInterview::02-typescript"
"Conditional types distribute over what?","Naked type parameters in union position.","ReactInterview::02-typescript"
"<code>[T] extends [U]</code> vs <code>T extends U</code>?","Tuple wrapper prevents distribution.","ReactInterview::02-typescript"
"<code>infer</code> can appear where?","Only in the <code>extends</code> clause of a conditional type.","ReactInterview::02-typescript"
"<code>exactOptionalPropertyTypes</code> changes what?","<code>{ x?: string }</code> no longer allows <code>x: undefined</code>; only <code>x: string</code> or the property absent.","ReactInterview::02-typescript"
"Method shorthand vs arrow property for variance?","Arrow property is contravariant under <code>strictFunctionTypes</code>; method shorthand is bivariant.","ReactInterview::02-typescript"
"Branded type runtime cost?","Zero — erased at compile time.","ReactInterview::02-typescript"
"Why prefer <code>z.infer</code> over a separate type definition?","Single source of truth — the schema is the type; no drift.","ReactInterview::02-typescript"
"<code>const</code> type parameter (TS 5.0) does what?","Infers the narrowest literal type for the argument without requiring <code>as const</code> at call sites.","ReactInterview::02-typescript"
"<code>isolatedModules</code> matters for what?","Ensures each file is independently transpilable — required by esbuild, Babel, SWC; catches <code>const enum</code> and namespace export issues.","ReactInterview::02-typescript"
"What is the virtual DOM?","A JavaScript representation of the DOM that React diffs between renders to minimize real DOM mutations.","ReactInterview::03-react-fundamentals"
"Is setState synchronous?","No — state updates are batched and applied asynchronously. React 18 batches all updates (including those in timeouts/promises) by default.","ReactInterview::03-react-fundamentals"
"What is reconciliation?","The algorithm React uses to diff the previous and current virtual DOM trees and produce minimal DOM updates. Key prop is the primary identity hint.","ReactInterview::03-react-fundamentals"
"Can you use hooks in class components?","No. Hooks are exclusively for function components.","ReactInterview::03-react-fundamentals"
"What does <code>key</code> do when it changes?","React unmounts the old component and mounts a new one — all state is destroyed.","ReactInterview::03-react-fundamentals"
"What is the difference between <code>defaultProps</code> and default parameter values?","<code>defaultProps</code> is a class/function static property (deprecated for function components in React 19). Default parameters in the function signature are idiomatic modern React.","ReactInterview::03-react-fundamentals"
"When does a component re-render?","When its own state changes, when its parent re-renders (unless memoized), or when a consumed context value changes.","ReactInterview::03-react-fundamentals"
"What is a pure component?","A component that returns the same output for the same props and has no side effects during render. <code>React.memo</code> is the function component equivalent of <code>PureComponent</code>.","ReactInterview::03-react-fundamentals"
"What does <code>React.memo</code> do?","Wraps a component to skip re-rendering if props are shallowly equal to the previous render. It&#x27;s an optimization, not a guarantee.","ReactInterview::03-react-fundamentals"
"Can event handlers access stale state?","Yes — closures in event handlers capture the state from the render they were created in. Use the functional update form <code>setState(prev =&gt; ...)</code> to avoid this.","ReactInterview::03-react-fundamentals"
"What is a controlled component?","A form element whose value is entirely driven by React state.","ReactInterview::03-react-fundamentals"
"What is <code>useLayoutEffect</code>?","Like <code>useEffect</code> but fires synchronously after DOM mutations, before the browser paints. Use for measuring DOM layout.","ReactInterview::03-react-fundamentals"
"What is the <code>exhaustive-deps</code> lint rule checking?","That every variable captured in a <code>useEffect</code>/<code>useMemo</code>/<code>useCallback</code> callback is listed as a dependency.","ReactInterview::04-hooks"
"Can you put an async function directly in <code>useEffect</code>?","No. <code>useEffect</code> must return <code>undefined</code> or a cleanup function. Async functions return Promises. Define async inside the effect and call it.","ReactInterview::04-hooks"
"What happens if you return a non-function from <code>useEffect</code>?","React throws in development. Only <code>undefined</code> or a function is valid.","ReactInterview::04-hooks"
"Why is <code>useLayoutEffect</code> called after mutations but &quot;before paint&quot;?","It runs in the same synchronous flush as the DOM write, before the browser compositor has a chance to render the updated DOM.","ReactInterview::04-hooks"
"What does <code>useId</code> guarantee that <code>Math.random()</code> in render does not?","Hydration consistency — the server and client generate the same ID for the same component instance in the tree.","ReactInterview::04-hooks"
"Is <code>dispatch</code> from <code>useReducer</code> stable across renders?","Yes, guaranteed by React, same as the <code>setState</code> setter.","ReactInterview::04-hooks"
"What is the &quot;tearing&quot; problem in concurrent mode?","Multiple renders reading different snapshots of an external mutable store, resulting in UI inconsistency within a single committed render.","ReactInterview::04-hooks"
"Can <code>useMemo</code> return a different value without dependencies changing?","Yes, React may discard memoized values as an optimization. Never rely on memo for semantic guarantees.","ReactInterview::04-hooks"
"Difference between <code>null</code> and <code>undefined</code> as a dependency?","<code>Object.is(null, undefined)</code> is <code>false</code> — React treats them as different values and will re-run the effect on the transition.","ReactInterview::04-hooks"
"What does <code>useOptimistic</code> do on error?","Reverts to the actual state passed to it. The optimistic value is a UI overlay, not committed state.","ReactInterview::04-hooks"
"What does <code>useDebugValue</code> do?","Labels a custom hook in React DevTools; it is a no-op in production and must only be called inside custom hooks.","ReactInterview::04-hooks"
"Can React render without committing?","Yes. In Concurrent Mode, React may render (call component functions) and then discard the work-in-progress tree if a higher-priority update arrives.","ReactInterview::05-rendering-reconciliation"
"What does <code>Object.is</code> return for two <code>[]</code> literals?","<code>false</code> — they are different object references.","ReactInterview::05-rendering-reconciliation"
"Does <code>useMemo</code> guarantee memoization?","No. React may discard memoized values in low-memory situations (future behavior). It is an optimization hint, not a guarantee.","ReactInterview::05-rendering-reconciliation"
"What triggers a context consumer to re-render?","The context *value* reference changing at the nearest <code>Provider</code>. <code>React.memo</code> does not block context-driven re-renders.","ReactInterview::05-rendering-reconciliation"
"Can you call hooks inside <code>startTransition</code>?","No — hooks must be called at the top level of a component function, not inside callbacks.","ReactInterview::05-rendering-reconciliation"
"What is the difference between bailout and no-op render?","Bailout: React skips calling the component entirely (via memo or Object.is). No-op render: React calls the component, produces identical output, and skips DOM mutations — more expensive than a bailout.","ReactInterview::05-rendering-reconciliation"
"Does changing a key always cause a full remount?","Yes. A key change means a different identity to React — the previous fiber is unmounted (effects cleaned up) and a fresh fiber is mounted.","ReactInterview::05-rendering-reconciliation"
"What fires during the &quot;passive effects&quot; phase?","<code>useEffect</code> callbacks and their cleanup functions from the previous render.","ReactInterview::05-rendering-reconciliation"
"What is the difference between <code>staleTime</code> and <code>gcTime</code> in TanStack Query?","<code>staleTime</code> controls when data is considered outdated and eligible for background refetch. <code>gcTime</code> controls when the inactive cache entry is deleted from memory.","ReactInterview::06-state-management"
"Why is Context not a state manager?","Context is a transport mechanism. It has no built-in subscriptions — consumers re-render on every value change regardless of whether they use the changed slice.","ReactInterview::06-state-management"
"What makes a Zustand selector cause unnecessary re-renders?","Returning a new object reference from the selector on every call. Use <code>useShallow</code> or select primitive values.","ReactInterview::06-state-management"
"When would you pick Jotai over Zustand?","When state is naturally per-entity and independent (e.g., per-row in a table), or when you want first-class Suspense integration at the atom level.","ReactInterview::06-state-management"
"Can you use TanStack Query and Zustand together?","Yes. TanStack Query handles server state; Zustand handles client UI state that is not tied to a server resource. They complement each other cleanly.","ReactInterview::06-state-management"
"What is <code>createEntityAdapter</code> in RTK?","A utility that generates a normalized <code>{ ids: [], entities: {} }</code> structure and pre-built CRUD reducers (add, update, remove, upsert) plus selectors, eliminating O(n) array scans.","ReactInterview::06-state-management"
"How do you persist Zustand state across page reloads?","The <code>persist</code> middleware wraps the store and syncs it to <code>localStorage</code> (or any custom storage adapter) automatically.","ReactInterview::06-state-management"
"What is the <code>enabled</code> option in <code>useQuery</code> for?","To conditionally skip a query — for example, waiting for a dependent value like a user ID before fetching user-specific data.","ReactInterview::06-state-management"
"How does RTK&#x27;s Immer integration work?","RTK wraps reducers in Immer&#x27;s <code>produce</code>. You can write &quot;mutating&quot; code against the <code>state</code> draft; Immer produces a new immutable state object using structural sharing.","ReactInterview::06-state-management"
"What is <code>nuqs</code>?","A library that provides a <code>useState</code>-compatible API over URL search params, with type-safe serialization and batched updates, for Next.js and other frameworks.","ReactInterview::06-state-management"
"What&#x27;s the first thing you check when a React app is slow?","React DevTools Profiler — how many components are re-rendering per interaction and what&#x27;s triggering them.","ReactInterview::07-performance"
"Does <code>React.memo</code> prevent re-renders if a prop is a function?","No. Functions are recreated each render, producing new references. Pair memo with <code>useCallback</code> (or React Compiler).","ReactInterview::07-performance"
"What replaced FID in Core Web Vitals?","INP (Interaction to Next Paint), in March 2024. INP measures full interaction latency, not just the delay before the first handler.","ReactInterview::07-performance"
"What&#x27;s the barrel file problem?","Re-exporting everything through an <code>index.ts</code> can prevent tree-shaking, causing unused code to appear in the bundle.","ReactInterview::07-performance"
"When does <code>useMemo</code> have negative ROI?","When the computation is cheaper than the comparison React does to decide whether to recompute. Anything under ~1ms on fast hardware is likely not worth memoizing manually.","ReactInterview::07-performance"
"How does Streaming SSR improve performance?","It flushes an HTML shell immediately (good TTFB), then streams Suspense boundaries as data resolves (good LCP), without waiting for all async data before sending any bytes.","ReactInterview::07-performance"
"What does the React Compiler change about memo?","It auto-applies memoization equivalent to <code>memo</code>/<code>useMemo</code>/<code>useCallback</code> for components that follow the Rules of React — removing the need for most manual memoization.","ReactInterview::07-performance"
"How do you detect a memory leak in a React app?","Chrome DevTools Memory tab → Heap Snapshot before/after repeated interaction → look for growing retained size and detached DOM nodes.","ReactInterview::07-performance"
"What&#x27;s the difference between <code>staleTime</code> and <code>gcTime</code> in TanStack Query?","<code>staleTime</code>: how long data is considered fresh (no refetch). <code>gcTime</code>: how long unused cache entries stay in memory before garbage collection.","ReactInterview::07-performance"
"When would you use a Web Worker in a React app?","CPU-intensive work that would block the main thread for &gt;50ms — e.g., parsing large CSV, running ML inference, complex data transformation.","ReactInterview::07-performance"
"What does <code>&quot;use client&quot;</code> actually do?","Marks a module boundary. All code in the file and its imports run on the client. Server Components can still render as children via composition.","ReactInterview::08-nextjs"
"Can you <code>await</code> in a layout?","Yes — <code>layout.tsx</code> can be an async Server Component.","ReactInterview::08-nextjs"
"Difference between <code>redirect()</code> and <code>permanentRedirect()</code>?","307 vs 308 HTTP status. Use permanent for SEO-friendly moves.","ReactInterview::08-nextjs"
"What is <code>unstable_cache</code>?","A way to cache arbitrary async functions (not just <code>fetch</code>) in the Data Cache.","ReactInterview::08-nextjs"
"How do you access search params in a Server Component?","Via the <code>searchParams</code> prop on <code>page.tsx</code> — it&#x27;s a plain object, not a URL instance.","ReactInterview::08-nextjs"
"What breaks if you use <code>Math.random()</code> in a Server Component?","Static rendering will fail — it&#x27;s non-deterministic. Use <code>export const dynamic = &#x27;force-dynamic&#x27;</code>.","ReactInterview::08-nextjs"
"What is the <code>template.tsx</code> use case?","Remounting on navigation — entry animations, per-page analytics events, form state reset.","ReactInterview::08-nextjs"
"How do you share state between parallel routes?","URL state (search params) or a shared parent context via a Client Component layout.","ReactInterview::08-nextjs"
"Does <code>next/image</code> require a domain allowlist?","Yes — remote images must be configured in <code>next.config.ts</code> under <code>images.remotePatterns</code>.","ReactInterview::08-nextjs"
"What triggers dynamic rendering?","<code>cookies()</code>, <code>headers()</code>, <code>searchParams</code>, <code>fetch</code> with <code>no-store</code>, <code>Date.now()</code>, <code>Math.random()</code>.","ReactInterview::08-nextjs"
"<code>getBy</code> vs <code>queryBy</code>","<code>getBy</code> throws on missing; <code>queryBy</code> returns null — use it for asserting absence.","ReactInterview::09-testing"
"Why avoid <code>data-testid</code>?","It adds no a11y signal and creates test coupling to markup details. Use role + name.","ReactInterview::09-testing"
"What is <code>screen</code>?","RTL&#x27;s bound query object that searches the full rendered document — preferred over destructuring from <code>render()</code>.","ReactInterview::09-testing"
"<code>beforeEach</code> vs <code>afterEach</code> for MSW?","Use <code>afterEach(() =&gt; server.resetHandlers())</code> to avoid handler state leaking between tests.","ReactInterview::09-testing"
"How do you test a <code>useEffect</code> that runs on mount?","Render the component, assert on the side effect&#x27;s output (DOM change, mock call) — do not test the effect directly.","ReactInterview::09-testing"
"Vitest ESM vs Jest","Jest requires <code>transform</code> config for ESM modules; Vitest handles them natively via Vite.","ReactInterview::09-testing"
"When to use <code>waitFor</code> vs <code>findBy</code>","Use <code>findBy</code> when waiting for an element to appear; use <code>waitFor</code> when waiting for an assertion on an already-present element to become true.","ReactInterview::09-testing"
"What does <code>retry: false</code> in QueryClient do in tests?","Prevents React Query from retrying failed requests, avoiding timeout-induced <code>act()</code> warnings.","ReactInterview::09-testing"
"Mutation score vs coverage","Coverage = lines executed; mutation score = percentage of deliberate code mutations your tests catch. Mutation score is the stronger signal.","ReactInterview::09-testing"
"Playwright <code>trace</code>","A ZIP file of screenshots, network logs, and DOM snapshots for a test run — invaluable for debugging CI flakiness locally.","ReactInterview::09-testing"
"What does <code>rel=&quot;noopener noreferrer&quot;</code> prevent?","<code>noopener</code> prevents the new tab from accessing <code>window.opener</code> (phishing via tab hijack). <code>noreferrer</code> suppresses the Referrer header and implies <code>noopener</code>.","ReactInterview::10-security"
"Is CORS a security mechanism on the server?","No. CORS is browser-enforced. Curl ignores it. It restricts cross-origin JS from reading responses, not from making requests.","ReactInterview::10-security"
"Can an httpOnly cookie be stolen via XSS?","Not directly read. But XSS can trigger authenticated requests using the cookie (session riding), exfiltrate CSRF tokens, or modify the page to harvest credentials.","ReactInterview::10-security"
"What is SameSite=Lax vs Strict for OAuth?","Strict breaks OAuth redirect flows because the redirect from the IdP is cross-site. Lax allows top-level navigational GETs, making it compatible with OAuth redirects while still blocking CSRF on state-changing requests.","ReactInterview::10-security"
"What is a postinstall script risk?","npm runs lifecycle scripts at install time. A malicious package can exfiltrate env vars, keys in the environment, or modify local files. Use <code>npm ci --ignore-scripts</code> in CI.","ReactInterview::10-security"
"How do Trusted Types prevent XSS?","They make DOM XSS sinks (<code>innerHTML</code>, <code>document.write</code>, <code>eval</code>) require a special TrustedHTML/TrustedScript object that can only be produced by explicitly declared policies, enforced by the browser.","ReactInterview::10-security"
"What is Subresource Integrity (SRI)?","A <code>integrity</code> attribute on <code>&lt;script&gt;</code> or <code>&lt;link&gt;</code> tags with a cryptographic hash. The browser blocks execution if the fetched file does not match the hash, defending against CDN compromise.","ReactInterview::10-security"
"What is prototype pollution and which JS operation commonly triggers it?","Deeply merging <code>{ &quot;__proto__&quot;: { &quot;isAdmin&quot;: true } }</code> into a plain object mutates <code>Object.prototype</code>, affecting every object. Lodash <code>merge</code> historically was vulnerable; use <code>Object.create(null)</code> for data maps.","ReactInterview::10-security"
"<code>NEXT_PUBLIC_</code> variables — what is the risk?","They are statically inlined into the client bundle at build time. Anything you put in <code>NEXT_PUBLIC_</code> is visible to anyone who loads your page and inspects the JS. Never use it for secrets.","ReactInterview::10-security"
"How do you handle CORS for a public API vs a private API?","Public API: <code>Access-Control-Allow-Origin: *</code> without credentials is fine. Private API: whitelist specific origins, require credentials, validate every request with authentication.","ReactInterview::10-security"
"What does <code>aria-modal=&quot;true&quot;</code> do?","Tells AT that content outside the dialog should be treated as inert. Without it, VoiceOver users can navigate outside a modal via the virtual cursor. Note: browser support for actually inert-ing the background is inconsistent — pair with <code>inert</code> attribute on background content.","ReactInterview::11-accessibility"
"What is the <code>inert</code> attribute?","An HTML attribute that makes an element and all its descendants non-interactive and hidden from AT. Use on background content when a modal is open.","ReactInterview::11-accessibility"
"What is the accessible name for <code>&lt;img src=&quot;logo.png&quot; /&gt;</code>?","The file name (&quot;logo.png&quot;) — always provide <code>alt</code>.","ReactInterview::11-accessibility"
"When does <code>role=&quot;presentation&quot;</code> differ from <code>aria-hidden=&quot;true&quot;</code>?","<code>role=&quot;presentation&quot;</code> removes element semantics but keeps descendants visible to AT. <code>aria-hidden=&quot;true&quot;</code> removes the element and all descendants from the tree entirely.","ReactInterview::11-accessibility"
"Can you make <code>&lt;div&gt;</code> keyboard focusable?","Yes, with <code>tabIndex={0}</code>. But you also need <code>role</code>, <code>onKeyDown</code> for Enter/Space, and all state management — always prefer a native element.","ReactInterview::11-accessibility"
"What is ARIA 1.2&#x27;s <code>aria-description</code>?","A new property (ARIA 1.2) equivalent to inline <code>aria-describedby</code> without requiring a separate element with an ID. AT support is still maturing.","ReactInterview::11-accessibility"
"What is the difference between <code>role=&quot;button&quot;</code> and <code>type=&quot;submit&quot;</code>?","None from a role perspective — both expose <code>role=&quot;button&quot;</code>. The difference is behavior: <code>type=&quot;submit&quot;</code> triggers form submission; <code>type=&quot;button&quot;</code> does not.","ReactInterview::11-accessibility"
"What CSS property is used to visually hide content while keeping it in the accessibility tree?","The &quot;visually-hidden&quot; utility: <code>position: absolute; width: 1px; height: 1px; overflow: hidden; clip: rect(0,0,0,0); white-space: nowrap;</code>. Do NOT use <code>display: none</code> or <code>visibility: hidden</code>.","ReactInterview::11-accessibility"
"What is <code>aria-live=&quot;off&quot;</code>?","The default; region changes are not announced. Useful to explicitly disable live behavior on a container that contains a live region descendant.","ReactInterview::11-accessibility"
"Lighthouse a11y score of 100 means WCAG AA compliant?","No. Automated tools cover ~30-40% of criteria. A score of 100 means axe found no automated violations; it says nothing about color meaning, logical heading structure quality, or meaningful alt text.","ReactInterview::11-accessibility"
"When would you choose SSE over WebSocket?","When communication is server → client only. SSE is simpler, uses HTTP/2 multiplexing, and auto-reconnects. WebSocket only needed for bidirectional.","ReactInterview::12-system-design"
"What is staleTime vs gcTime in React Query?","<code>staleTime</code>: how long data is considered fresh (no background refetch). <code>gcTime</code>: how long unused cache entries are kept before garbage collection.","ReactInterview::12-system-design"
"How do you prevent waterfall data fetching in React?","Lift fetches to route-level loaders (React Router v6, Next.js), use parallel queries, or use RSC which can fetch in parallel on the server.","ReactInterview::12-system-design"
"What is CLS and how do you prevent it?","Cumulative Layout Shift — elements moving after initial render. Prevent by reserving space for images (<code>aspect-ratio</code>), skeleton screens with fixed dimensions, avoiding DOM insertions above the fold.","ReactInterview::12-system-design"
"Offset vs cursor pagination?","Offset is simple but unstable (inserts shift pages). Cursor is stable and performant. Always use cursor for infinite scroll.","ReactInterview::12-system-design"
"How do you handle a design token change that breaks 30 components?","Update the token, run visual regression in Chromatic (Storybook), review diffs, then release as a minor version if additive or major version if breaking. Consumers pin and upgrade on their schedule.","ReactInterview::12-system-design"
"What is Module Federation&#x27;s biggest operational risk?","Version mismatch of shared singletons (React). If host and remote ship different React versions and <code>singleton: true</code> is not set, you get two React instances and hook failures.","ReactInterview::12-system-design"
"What is the STAR+L format?","Situation, Task, Action, Result, Lesson.","ReactInterview::13-senior-interview"
"What are the three pillars of observability?","Logs, metrics, traces.","ReactInterview::13-senior-interview"
"What does a blameless postmortem produce?","Timeline, contributing factors (no blame), action items, runbook updates.","ReactInterview::13-senior-interview"
"What is an error budget?","The acceptable amount of unreliability given an SLO target.","ReactInterview::13-senior-interview"
"What is the &quot;multiplier test&quot;?","Would this person make those around them better?","ReactInterview::13-senior-interview"
"Name the four layers of a …","Name the four layers of a good code review. Correctness, design, readability, security/performance.","ReactInterview::13-senior-interview"
"How do you say &quot;it depends&quot; at the senior level?","State the axes: &quot;It depends on X, Y, and Z — given [assumption], I would choose...&quot;","ReactInterview::13-senior-interview"
"What do take-home reviewers look for beyond correctness?","Accessibility, error handling, testing strategy, README reasoning, what was skipped and why.","ReactInterview::13-senior-interview"
"What makes a question to the interviewer signal-rich?","It surfaces something you cannot Google and reveals you know what senior work actually looks like.","ReactInterview::13-senior-interview"
"What is the first thing you do in a live coding session?","Clarify the problem and state your constraints.","ReactInterview::13-senior-interview"
"How do you negotiate comp?","Know your target range before the call, give a range not a point, negotiate total comp not just base.","ReactInterview::13-senior-interview"
"What is scope creep management?","Name it, make it visible, present the trade-off explicitly.","ReactInterview::13-senior-interview"
"What is a strangler-fig migration?","Replacing a system incrementally — new functionality goes into the new system while the old system handles existing paths.","ReactInterview::13-senior-interview"
"What is the cost-of-inaction argument for tech debt?","Quantify bug-fix hours attributable to the debt vs. the cost of the refactor.","ReactInterview::13-senior-interview"
"What is the three-point estimate?","Optimistic / most likely / pessimistic — commit to most likely, communicate the range.","ReactInterview::13-senior-interview"
"An HOC wraps a component …","An HOC wraps a component; a hook wraps logic — one adds a component layer, one does not.","ReactInterview::14-react-patterns"
"<code>displayName</code> on HOCs is mandatory …","<code>displayName</code> on HOCs is mandatory; without it DevTools shows stacked anonymous wrappers.","ReactInterview::14-react-patterns"
"<code>React.Children.map</code> breaks on fragments …","<code>React.Children.map</code> breaks on fragments — Context is the correct compound-component approach today.","ReactInterview::14-react-patterns"
"Render props are still valid when …","Render props are still valid when the consumer needs to own the markup of a specific slot.","ReactInterview::14-react-patterns"
"The state reducer pattern inverts control …","The state reducer pattern inverts control over *how* state transitions happen, not just *when*.","ReactInterview::14-react-patterns"
"Control props require you to detect controlled vs uncontrolled mode …","Control props require you to detect controlled vs uncontrolled mode — never toggle between them.","ReactInterview::14-react-patterns"
"Provider context values should be memoized …","Provider context values should be memoized or split by update frequency to prevent cascade re-renders.","ReactInterview::14-react-patterns"
"Headless UI separates behavior/a11y from styling …","Headless UI separates behavior/a11y from styling — the right trade for design-system longevity.","ReactInterview::14-react-patterns"
"<code>children</code> as a prop is stable across parent renders if the parent doesn&#x27;t re-render …","<code>children</code> as a prop is stable across parent renders if the parent doesn&#x27;t re-render — use it for perf.","ReactInterview::14-react-patterns"
"The container/presentational split is organizational choice, …","The container/presentational split is organizational choice, not architectural requirement, post-hooks.","ReactInterview::14-react-patterns"
"Custom hooks should follow single-responsibility …","Custom hooks should follow single-responsibility — one concern per hook, compose upward.","ReactInterview::14-react-patterns"
"Tuple returns favor rename-ability …","Tuple returns favor rename-ability; object returns favor selective destructuring.","ReactInterview::14-react-patterns"
"<code>as</code> / polymorphic props are a consumer convenience, not a styling system …","<code>as</code> / polymorphic props are a consumer convenience, not a styling system — don&#x27;t overload them.","ReactInterview::14-react-patterns"
"Provider hell is solved by co-locating …","Provider hell is solved by co-locating providers with their feature, not stacking all at root.","ReactInterview::14-react-patterns"
"Compound components with Context support arbitrary nesting depth …","Compound components with Context support arbitrary nesting depth; <code>cloneElement</code> does not.","ReactInterview::14-react-patterns"
"A discriminated union for state (`{ status …","A discriminated union for state (<code>{ status: &quot;loading&quot; | &quot;error&quot; | &quot;success&quot; }</code>) prevents impossible states better than multiple booleans.","ReactInterview::14-react-patterns"
"Prop getters (e.g., <code>getToggleProps</code>) merge consumer event handlers with internal ones …","Prop getters (e.g., <code>getToggleProps</code>) merge consumer event handlers with internal ones — always call-through, never clobber.","ReactInterview::14-react-patterns"
"<code>React.memo</code> is itself an HOC …","<code>React.memo</code> is itself an HOC; wrapping it with another HOC requires careful ref and displayName handling.","ReactInterview::14-react-patterns"
